ASV	FPE1.EG.04.1	FPE1.EG.04.2	FPE1.EG.04.3	FPE1.EG.06.1	FPE1.EG.06.2	FPE1.EG.06.3	FPE1.FG.01.1	FPE1.FG.01.2	FPE1.FG.01.3	FPE1.FG.05.1	FPE1.FG.05.2	FPE1.FG.05.3	FPE1.FP.24HR.1	FPE1.FP.24HR.2	FPE1.FP.24HR.3	FPE1.FP.2HR.1	FPE1.FP.2HR.2	FPE1.FP.2HR.3	FPE1.H2O.01.1	FPE1.H2O.01.2	FPE1.H2O.01.3	FPE1.H2O.03.1	FPE1.H2O.03.2	FPE1.H2O.03.3	FPE2.EG.201.1	FPE2.EG.201.2	FPE2.EG.201.3	FPE2.EG.202.1	FPE2.EG.202.2	FPE2.EG.202.3	FPE2.EG.203.1	FPE2.EG.203.2	FPE2.EG.203.3	FPE2.EG.204.1	FPE2.EG.204.2	FPE2.EG.204.3	FPE2.EG.205.1	FPE2.EG.205.2	FPE2.EG.205.3	FPE2.EG.206.1	FPE2.EG.206.2	FPE2.EG.206.3	FPE2.FG.201.1	FPE2.FG.201.2	FPE2.FG.201.3	FPE2.FG.202.1	FPE2.FG.202.2	FPE2.FG.202.3	FPE2.FG.203.1	FPE2.FG.203.2	FPE2.FG.203.3	FPE2.FG.204.1	FPE2.FG.204.2	FPE2.FG.204.3	FPE2.FG.205.1	FPE2.FG.205.2	FPE2.FG.205.3	FPE2.FG.206.1	FPE2.FG.206.2	FPE2.FG.206.3	FPE2.FP.24HR.1	FPE2.FP.24HR.2	FPE2.FP.24HR.3	FPE2.FP.2HR.1	FPE2.FP.2HR.2	FPE2.FP.2HR.3	FPE2.H2O.1	FPE2.H2O.2	FPE2.H2O.3	FPE3.EG.01.1	FPE3.EG.01.2	FPE3.EG.01.3	FPE3.EG.02.1	FPE3.EG.02.2	FPE3.EG.02.3	FPE3.EG.03.1	FPE3.EG.03.2	FPE3.EG.03.3	FPE3.EG.04.1	FPE3.EG.04.2	FPE3.EG.04.3	FPE3.EG.05.1	FPE3.EG.05.2	FPE3.EG.05.3	FPE3.FG.01.1	FPE3.FG.01.2	FPE3.FG.01.3	FPE3.FG.02.1	FPE3.FG.02.2	FPE3.FG.02.3	FPE3.FG.03.1	FPE3.FG.03.2	FPE3.FG.03.3	FPE3.FG.04.1	FPE3.FG.04.2	FPE3.FG.04.3	FPE3.FG.05.1	FPE3.FG.05.2	FPE3.FG.05.3	FPE3.FP.24HR.1.1	FPE3.FP.24HR.1.2	FPE3.FP.24HR.1.3	FPE3.FP.24HR.2.1	FPE3.FP.24HR.2.2	FPE3.FP.24HR.2.3	FPE3.FP.2HR.1	FPE3.FP.2HR.2	FPE3.FP.2HR.3	FPE3.H2O.1	FPE3.H2O.2	FPE3.H2O.3	NegCtrl1.1	NegCtrl2.2	ZymoCtrl1.1	ZymoCtrl2.2
ASV0001	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0
ASV0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	3	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
