ASV	Domain	Phylum	Class	Order	Family	Genus	Species
ASV0001	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Kiloniellaceae_gen	Kiloniellaceae_sp
ASV0002	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae_gen	Phycisphaeraceae_sp
ASV0003	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriales_fam	Sphingobacteriales OPS 17	Sphingobacteriales OPS 17_sp
ASV0004	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lutimaribacter	Lutimaribacter_sp
ASV0005	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Fokiniaceae MD3-55	Fokiniaceae MD3-55_sp
ASV0006	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Mitochondria
ASV0007	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Oleiphilus	Oleiphilus_sp
ASV0008	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystaceae_gen	Nannocystaceae_sp
ASV0009	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast
ASV0010	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella_sp
ASV0011	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus	Porticoccus_sp
ASV0012	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacteraceae_gen	Helicobacteraceae_sp
ASV0013	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Puniceicoccaceae MG-MB11C04	Puniceicoccaceae MG-MB11C04_sp
ASV0014	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Mitochondria
ASV0015	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacterales_fam	Vicinamibacterales_gen	Vicinamibacterales_sp
ASV0017	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacteriaceae_gen	Microbacteriaceae_sp
ASV0018	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Parahaliea	Parahaliea_sp
ASV0019	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter_sp
ASV0020	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriales MG-NS9	Flavobacteriales MG-NS9_gen	Flavobacteriales MG-NS9_sp
ASV0021	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae_gen	Sphingomonadaceae_sp
ASV0022	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales S25-593	Rickettsiales S25-593_gen	Rickettsiales S25-593_sp
ASV0023	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	Terrimicrobium_sp
ASV0024	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast
ASV0025	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium_sp
ASV0026	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Criblamydiaceae	Criblamydiaceae_gen	Criblamydiaceae_sp
